# AWG_Sines_DEBUG.py
# NOTE: frequencies get rounded to the nearest integer
# Enter log for logarithmic freq spacing (default lin): log
# Logarithmic frequency sweep
# Enter f0, f1, nf (separated by spaces): 100 10000 21
# freqs = [100, 126, 158, 200, 251, 316, 398, 501, 631, 794, 1000, 1259, 1585, 1995, 2512, 3162, 3981, 5012, 6310, 7943, 10000]
# offset 0.500, amplitude 0.500
# step through frequencies
# Loop    1 of    2
# Freq  Vgnd    VgRMS    Vsig    VsRMS    Vfilt     VfRMS
   100  1.6657  0.0103  1.6583  1.1693  1.6600  1.1588
   126  1.6662  0.0103  1.6589  1.1683  1.6601  1.1520
   158  1.6647  0.0104  1.6612  1.1658  1.6629  1.1411
   200  1.6652  0.0105  1.6596  1.1694  1.6607  1.1299
   251  1.6659  0.0108  1.6602  1.1685  1.6623  1.1074
   316  1.6646  0.0121  1.6592  1.1682  1.6599  1.0764
   398  1.6627  0.0114  1.6574  1.1677  1.6596  1.0303
   501  1.6622  0.0115  1.6562  1.1657  1.6585  0.9699
   631  1.6636  0.0109  1.6584  1.1662  1.6575  0.8928
   794  1.6643  0.0104  1.6562  1.1664  1.6573  0.8013
  1000  1.6649  0.0098  1.6586  1.1673  1.6583  0.7001
  1259  1.6652  0.0101  1.6604  1.1675  1.6592  0.5951
  1585  1.6658  0.0095  1.6590  1.1679  1.6596  0.4966
  1995  1.6659  0.0096  1.6592  1.1685  1.6596  0.4083
  2512  1.6660  0.0094  1.6618  1.1680  1.6601  0.3384
  3162  1.6659  0.0096  1.6598  1.1675  1.6598  0.2710
  3981  1.6660  0.0097  1.6577  1.1671  1.6597  0.2176
  5012  1.6659  0.0092  1.6624  1.1675  1.6593  0.1732
  6310  1.6655  0.0100  1.6601  1.1672  1.6595  0.1387
  7943  1.6655  0.0096  1.6609  1.1662  1.6600  0.1105
 10000  1.6657  0.0098  1.6550  1.1683  1.6600  0.0881
# Clean up
# D O N E ! ! !

