# testLuxSensor_22b
# Room light, a little dim
# gain, int. time (ms), ms/read, counts, stdCount, lux, stdLux, res
1.000,  25,   60,   112.9,  2.2,     26.0,  0.5, 0.2304
1.000, 100,  209,   474.0,  1.5,     27.3,  0.1, 0.0576
1.000,  50,  109,   236.9,  1.0,     27.3,  0.1, 0.1152
1.000, 200,  409,   944.3,  4.4,     27.2,  0.1, 0.0288
1.000, 400,  810,  1885.8,  5.6,     27.2,  0.1, 0.0144
1.000, 800, 1609,  3783.0,  5.3,     27.2,  0.0, 0.0072
2.000,  25,   61,   234.3,  0.9,     27.0,  0.1, 0.1152
2.000, 100,  210,   941.3,  2.7,     27.1,  0.1, 0.0288
2.000,  50,  111,   470.1,  1.4,     27.1,  0.1, 0.0576
2.000, 200,  411,  1881.8,  1.4,     27.1,  0.0, 0.0144
2.000, 400,  811,  3764.6,  0.0,     27.1,  0.0, 0.0072
2.000, 800, 1608,  7529.2,  0.0,     27.1,  0.0, 0.0036
0.125,  25,   60,    14.0,  0.0,     25.8,  0.0, 1.8432
0.125, 100,  209,    62.0,  0.0,     28.6,  0.0, 0.4608
0.125,  50,  110,    30.0,  0.0,     27.6,  0.0, 0.9216
0.125, 200,  409,   122.2,  1.3,     28.2,  0.3, 0.2304
0.125, 400,  810,   240.3,  8.9,     27.7,  1.0, 0.1152
0.125, 800, 1610,   493.1,  0.4,     28.4,  0.0, 0.0576
0.250,  25,   60,    28.0,  0.0,     25.8,  0.0, 0.9216
0.250, 100,  209,   124.8,  0.4,     28.8,  0.1, 0.2304
0.250,  50,  110,    60.0,  0.0,     27.6,  0.0, 0.4608
0.250, 200,  409,   246.2,  0.4,     28.4,  0.1, 0.1152
0.250, 400,  810,   492.0,  0.0,     28.3,  0.0, 0.0576
0.250, 800, 1610,   983.2,  1.9,     28.3,  0.1, 0.0288
