# testLuxSensor_22b
# Solid state red laser on diffuser
# gain, int. time (ms), ms/read, counts, stdCount, lux, stdLux, res
1.000,  25,   59, 10958.8,  0.0,   2525.0,  2.0, 0.2304
1.000, 100,  209, 43842.4,  0.0,   2525.3,  1.4, 0.0576
1.000,  50,  109, 21896.3,  0.0,   2522.5,  2.8, 0.1152
1.000, 200,  410, 65535.0,  0.0,   1887.4,  1.7, 0.0288
1.000, 400,  810, 65535.0,  0.0,    943.7,  0.9, 0.0144
1.000, 800, 1610, 65535.0,  0.0,    471.9,  0.4, 0.0072
2.000,  25,   61, 21882.4,  0.0,   2520.8,  2.0, 0.1152
2.000, 100,  211, 65535.0,  0.0,   1887.4,  1.7, 0.0288
2.000,  50,  111, 43702.0,  0.0,   2517.4,  1.4, 0.0576
2.000, 200,  411, 65535.0,  0.0,    943.7,  0.9, 0.0144
2.000, 400,  812, 65535.0,  0.0,    471.9,  0.4, 0.0072
2.000, 800, 1608, 65535.0,  0.0,    235.9,  0.2, 0.0036
0.125,  25,   60,  3882.9,  0.0,   7157.3,  6.9, 1.8432
0.125, 100,  209, 15505.4, 11.3,   7144.9,  9.8, 0.4608
0.125,  50,  110,  7741.7,  0.0,   7134.7,  8.0, 0.9216
0.125, 200,  409, 30955.0,  0.0,   7132.0,  9.8, 0.2304
0.125, 400,  811, 61702.2, 71.6,   7108.1, 10.6, 0.1152
0.125, 800, 1610, 65535.0,  0.0,   3774.8,  3.5, 0.0576
0.250,  25,   60,  7757.0,  0.0,   7149.2,  8.9, 0.9216
0.250, 100,  209, 30992.9,  0.0,   7140.8,  8.9, 0.2304
0.250,  50,  110, 15481.9,  0.0,   7134.0,  9.8, 0.4608
0.250, 200,  410, 62073.7, 32.0,   7150.9, 10.6, 0.1152
0.250, 400,  811, 65535.0,  0.0,   3774.8,  3.5, 0.0576
0.250, 800, 1610, 65535.0,  0.0,   1887.4,  1.7, 0.0288
