# Count_Alpha
# Time (s), Counts, Avg Counts in 1 seconds
        51,    103, 103.000
        52,    119, 111.000
        53,    120, 114.000
        54,    107, 112.250
        55,    111, 112.000
        56,    114, 112.333
        57,    132, 115.143
        58,    117, 115.375
        59,    115, 115.333
        60,    112, 115.000
        61,    100, 113.636
        62,    141, 115.917
        63,    107, 115.231
        64,    129, 116.214
        65,    107, 115.600
        66,    120, 115.875
        67,    116, 115.882
        68,    121, 116.167
        69,    103, 115.474
        70,    127, 116.050
        71,    113, 115.905
        72,    131, 116.591
        73,    117, 116.609
        74,    132, 117.250
        75,    114, 117.120
        76,    115, 117.038
        77,    123, 117.259
        78,    101, 116.679
        79,    107, 116.345
        80,    112, 116.200
        81,    130, 116.645
        82,    103, 116.219
        83,    124, 116.455
        84,    109, 116.235
        85,    136, 116.800
        86,    110, 116.611
        87,     92, 115.946
        88,    158, 117.053
        89,    120, 117.128
        90,    116, 117.100
        91,    110, 116.927
        92,    126, 117.143
        93,    134, 117.535
        94,    111, 117.386
        95,    108, 117.178
        96,    105, 116.913
        97,    126, 117.106
        98,    133, 117.437
        99,    123, 117.551
       100,    121, 117.620
       101,     92, 117.118
       102,    120, 117.173
       103,    120, 117.226
       104,    111, 117.111
       105,    109, 116.964
       106,    112, 116.875
       107,    112, 116.789
       108,    155, 117.448
       109,    119, 117.475
       110,    116, 117.450
       111,    125, 117.574
       112,    102, 117.323
       113,    111, 117.222
       114,    136, 117.516
       115,    111, 117.415
       116,    114, 117.364
       117,    122, 117.433
       118,    110, 117.324
       119,     90, 116.928
       120,    113, 116.871
       121,    108, 116.746
       122,    117, 116.750
       123,    131, 116.945
       124,    134, 117.176
       125,    190, 118.147
       126,    234, 119.671
       127,    168, 120.299
       128,     91, 119.923
       129,    115, 119.861
       130,    132, 120.012
       131,    106, 119.840
       132,    123, 119.878
       133,    107, 119.723
       134,    105, 119.548
       135,    114, 119.482
       136,    121, 119.500
       137,    110, 119.391
       138,    129, 119.500
       139,    123, 119.539
       140,    156, 119.944
       141,    132, 120.077
       142,    125, 120.130
       143,    135, 120.290
       144,     87, 119.936
       145,    107, 119.800
       146,    110, 119.698
       147,    119, 119.691
       148,    118, 119.673
       149,    120, 119.677
