# code: Count_Alpha
# Count_Alpha
# Time (s), Counts, Avg Counts in 1 seconds
       283,    651, 651.000
       284,    638, 644.500
       285,    689, 659.333
       286,    662, 660.000
       287,    678, 663.600
       288,    655, 662.167
       289,    654, 661.000
       290,    665, 661.500
       291,    653, 660.555
       292,    677, 662.200
       293,    650, 661.091
       294,    658, 660.833
       295,    701, 663.923
       296,    645, 662.571
       297,    657, 662.200
       298,    695, 664.250
       299,    685, 665.470
       300,    677, 666.111
       301,    692, 667.474
       302,    659, 667.050
       303,    651, 666.286
       304,    669, 666.409
       305,    725, 668.957
       306,    724, 671.250
       307,    714, 672.960
       308,    670, 672.846
       309,    707, 674.111
       310,    684, 674.464
       311,    675, 674.483
       312,    731, 676.366
       313,    704, 677.258
       314,    676, 677.219
       315,    624, 675.606
       316,    657, 675.059
       317,    668, 674.857
       318,    692, 675.333
       319,    711, 676.297
       320,    680, 676.395
       321,    694, 676.846
       322,    697, 677.350
       323,    639, 676.415
       324,    659, 676.000
       325,    740, 677.488
       326,    651, 676.886
       327,    600, 675.178
       328,    698, 675.674
       329,    676, 675.681
       330,    697, 676.125
       331,    658, 675.755
       332,    678, 675.800
       333,    696, 676.196
       334,    709, 676.827
       335,    702, 677.302
       336,    712, 677.944
       337,    638, 677.218
       338,    646, 676.661
       339,    656, 676.298
       340,    685, 676.448
       341,    665, 676.254
       342,    675, 676.233
       343,    678, 676.262
       344,    615, 675.274
       345,    647, 674.825
       346,    662, 674.625
       347,    668, 674.523
       348,    672, 674.485
       349,    685, 674.642
       350,    666, 674.515
       351,    637, 673.971
       352,    712, 674.514
       353,    693, 674.775
       354,    687, 674.944
       355,    655, 674.671
       356,    652, 674.365
       357,    656, 674.120
       358,    628, 673.513
       359,    647, 673.169
       360,    676, 673.205
       361,    633, 672.696
       362,    679, 672.775
       363,    669, 672.728
       364,    678, 672.792
       365,    643, 672.434
       366,    669, 672.393
       367,    693, 672.635
       368,    641, 672.267
       369,    646, 671.965
       370,    658, 671.807
       371,    670, 671.786
       372,    644, 671.478
       373,    635, 671.077
       374,    661, 670.967
       375,    617, 670.387
       376,    724, 670.957
       377,    756, 671.853
       378,    774, 672.917
       379,    795, 674.175
       380,    780, 675.255
       381,    768, 676.192
# Time (s), Counts, Avg Counts in 1 seconds
       382,    763, 677.060
       383,    735, 677.634
       384,    777, 678.608
       385,    731, 679.116
       386,    815, 680.423
       387,    777, 681.343
       388,    736, 681.858
       389,    789, 682.860
       390,    828, 684.204
