# Count_Alpha
# Time (s), Counts, Avg Counts in 1 seconds
      1833,     18, 18.000
      1834,     21, 19.500
      1835,     32, 23.667
      1836,     15, 21.500
      1837,     18, 20.800
      1838,     19, 20.500
      1839,     21, 20.571
      1840,     26, 21.250
      1841,     15, 20.556
      1842,     14, 19.900
      1843,     27, 20.545
      1844,     20, 20.500
      1845,     17, 20.231
      1846,     12, 19.643
      1847,     18, 19.533
      1848,     36, 20.563
      1849,     14, 20.176
      1850,     26, 20.500
      1851,     26, 20.789
      1852,     23, 20.900
      1853,     24, 21.048
      1854,     22, 21.091
      1855,     25, 21.261
      1856,     76, 23.542
      1857,     23, 23.520
      1858,     20, 23.385
      1859,     51, 24.407
      1860,     11, 23.929
      1861,     20, 23.793
      1862,     28, 23.933
      1863,     17, 23.710
      1864,     20, 23.594
      1865,     14, 23.303
      1866,     21, 23.235
      1867,     81, 24.886
      1868,    163, 28.722
      1869,    157, 32.189
      1870,    132, 34.816
      1871,     21, 34.462
      1872,     11, 33.875
      1873,     22, 33.585
      1874,     22, 33.310
      1875,     17, 32.930
      1876,     27, 32.795
      1877,     21, 32.533
      1878,     25, 32.370
      1879,     14, 31.979
      1880,     27, 31.875
      1881,     23, 31.694
      1882,     20, 31.460
      1883,     23, 31.294
      1884,     23, 31.135
      1885,     19, 30.906
      1886,     26, 30.815
      1887,     18, 30.582
      1888,     19, 30.375
      1889,     22, 30.228
      1890,     32, 30.259
      1891,     18, 30.051
      1892,     20, 29.883
      1893,     26, 29.820
      1894,     24, 29.726
      1895,     18, 29.540
      1896,     15, 29.313
      1897,     22, 29.200
      1898,     21, 29.076
      1899,     22, 28.970
      1900,     23, 28.882
      1901,     17, 28.710
      1902,     28, 28.700
      1903,     21, 28.592
      1904,     32, 28.639
      1905,     18, 28.493
      1906,     29, 28.500
      1907,     20, 28.387
      1908,     33, 28.447
      1909,     28, 28.442
      1910,     21, 28.346
      1911,     18, 28.215
      1912,     26, 28.188
      1913,     16, 28.037
      1914,     26, 28.012
      1915,     23, 27.952
      1916,     20, 27.857
      1917,     22, 27.788
      1918,     15, 27.640
      1919,     14, 27.483
      1920,     44, 27.670
      1921,     11, 27.483
      1922,     24, 27.444
      1923,     20, 27.363
      1924,     29, 27.380
      1925,     20, 27.301
      1926,     21, 27.234
      1927,     27, 27.232
      1928,     25, 27.208
      1929,     22, 27.155
      1930,     24, 27.122
      1931,     18, 27.030
# Time (s), Counts, Avg Counts in 1 seconds
      1932,     25, 27.010
      1933,     24, 26.980
      1934,     20, 26.912
      1935,     28, 26.922
      1936,     17, 26.827
      1937,     25, 26.810
      1938,     15, 26.698
      1939,     22, 26.654
      1940,     18, 26.574
      1941,     23, 26.541
      1942,     19, 26.473
      1943,     26, 26.468
      1944,     29, 26.491
      1945,     22, 26.451
      1946,     26, 26.447
      1947,     28, 26.461
      1948,     25, 26.448
      1949,     22, 26.410
      1950,     17, 26.331
      1951,     28, 26.345
      1952,     28, 26.358
      1953,     26, 26.355
      1954,     35, 26.426
      1955,     13, 26.317
      1956,     22, 26.282
      1957,     15, 26.192
      1958,     21, 26.151
      1959,     26, 26.150
      1960,     27, 26.156
      1961,     17, 26.085
      1962,     35, 26.154
      1963,     27, 26.160
      1964,     28, 26.174
      1965,     18, 26.113
      1966,     14, 26.022
      1967,     31, 26.059
      1968,     16, 25.985
      1969,     23, 25.964
      1970,     19, 25.913
      1971,     18, 25.856
      1972,     19, 25.807
      1973,     18, 25.752
      1974,     20, 25.711
      1975,     15, 25.636
      1976,     19, 25.590
      1977,     18, 25.538
      1978,     19, 25.493
      1979,     22, 25.469
      1980,     17, 25.412
      1981,     21, 25.383
      1982,     33, 25.433
      1983,     15, 25.364
      1984,     23, 25.349
      1985,     15, 25.281
      1986,     16, 25.221
      1987,     24, 25.213
      1988,     28, 25.231
      1989,     16, 25.172
      1990,     23, 25.158
      1991,     26, 25.164
      1992,     18, 25.119
      1993,     28, 25.137
      1994,    145, 25.877
      1995,    149, 26.632
      1996,    165, 27.476
      1997,     69, 27.727
      1998,     30, 27.741
      1999,     32, 27.766
      2000,     30, 27.780
      2001,     20, 27.734
      2002,     21, 27.694
      2003,     32, 27.719
      2004,     27, 27.715
      2005,     27, 27.711
      2006,     26, 27.701
      2007,     26, 27.691
      2008,     29, 27.699
      2009,     23, 27.672
      2010,     28, 27.674
      2011,     17, 27.615
      2012,     24, 27.594
      2013,     23, 27.569
      2014,     21, 27.533
      2015,     26, 27.525
      2016,     33, 27.554
      2017,     40, 27.622
      2018,     31, 27.640
      2019,     14, 27.567
      2020,     20, 27.527
      2021,     17, 27.471
      2022,     29, 27.479
      2023,     16, 27.419
      2024,     28, 27.422
      2025,     34, 27.456
      2026,     19, 27.412
      2027,     24, 27.395
      2028,     15, 27.332
      2029,     20, 27.294
      2030,     38, 27.348
      2031,     24, 27.332
