Press any key to enter the REPL. Use CTRL-D to reload.

Adafruit CircuitPython 7.2.0-alpha.1-379-g54589de15 on 2022-02-10; Adafruit Feather ESP32-S2 TFT with ESP32S2
>>> 
soft reboot

Auto-reload is on. Simply save files over USB to run them or enter REPL to disable.
code.py output:
# takeTurbData_v1.py
# Sleep 0.05 s while warming up LED
# Pause 0.5 s before taking data
# Average over 10 measurements
# Gain = 64
# Sensor integration time is 700 ms
# Sleep time between cycles is 20 s
# LED warm up current is 100 mA, data current is 12.5 mA
# Time(s), Light(V),  LightStd, Average, StdDev
157944.0, 0.183872, 0.001376, 602.60, 281.87
157970.0, 0.143257, 0.000918, 452.00, 86.88
157997.0, 0.142456, 0.001289, 382.10, 128.00
158023.0, 0.143559, 0.000930, 394.00, 208.89
158049.0, 0.143257, 0.001018, 482.00, 68.31
158076.0, 0.142859, 0.001306, 399.10, 133.22
158102.0, 0.142753, 0.000616, 379.80, 206.03
158128.0, 0.143559, 0.000930, 443.10, 74.92
158155.0, 0.143156, 0.000988, 434.90, 191.19
158181.0, 0.143559, 0.001125, 390.10, 137.04
158208.0, 0.143257, 0.000481, 425.80, 44.05
158234.0, 0.143061, 0.001309, 386.60, 131.45
158260.0, 0.143760, 0.000999, 433.30, 172.40
158287.0, 0.143358, 0.001125, 439.40, 55.87
158313.0, 0.143760, 0.001092, 461.30, 115.12
158340.0, 0.142663, 0.001794, 392.30, 135.81
158366.0, 0.143861, 0.000846, 396.40, 26.60
158393.0, 0.144163, 0.001483, 414.60, 22.02
158419.0, 0.143156, 0.000988, 427.30, 183.57
158445.0, 0.144163, 0.001410, 330.60, 166.09
# Time(s), Light(V),  LightStd, Average, StdDev
158472.0, 0.143156, 0.000757, 466.00, 131.85
158498.0, 0.143257, 0.000488, 372.80, 124.69
158525.0, 0.143061, 0.001976, 373.80, 208.28
158551.0, 0.143358, 0.000930, 426.60, 29.00
158577.0, 0.143257, 0.000796, 367.00, 122.39
158604.0, 0.143861, 0.001233, 354.40, 185.10
158630.0, 0.143358, 0.001368, 445.90, 90.49
158656.0, 0.143861, 0.001315, 418.20, 169.28
158683.0, 0.143056, 0.000559, 391.70, 139.53
158709.0, 0.143962, 0.001202, 420.40, 71.76
158736.0, 0.143056, 0.000717, 361.50, 120.67
158762.0, 0.142758, 0.000880, 429.00, 189.25
158789.0, 0.143458, 0.001043, 408.00, 12.91
158815.0, 0.143962, 0.001112, 455.20, 119.72
158841.0, 0.144365, 0.001512, 367.90, 123.25
158868.0, 0.144561, 0.002253, 371.40, 69.76
158894.0, 0.143861, 0.001389, 415.20, 27.94
158921.0, 0.144163, 0.001260, 435.70, 191.75
158947.0, 0.143061, 0.001227, 339.20, 172.35
158973.0, 0.144667, 0.001115, 466.20, 124.82
# Time(s), Light(V),  LightStd, Average, StdDev
159000.0, 0.143962, 0.001750, 371.80, 124.32
159026.0, 0.142764, 0.002965, 369.80, 207.41
159053.0, 0.144068, 0.001384, 408.30, 15.31
159079.0, 0.144063, 0.000846, 367.00, 122.45
159105.0, 0.143559, 0.000814, 352.40, 182.11
159132.0, 0.143660, 0.001199, 441.50, 94.65
159158.0, 0.143262, 0.001493, 411.90, 166.11
159184.0, 0.143363, 0.001122, 392.70, 142.46
159211.0, 0.143559, 0.001029, 419.90, 48.50
159237.0, 0.143559, 0.001298, 372.80, 125.35
159264.0, 0.143363, 0.001505, 418.60, 171.90
159290.0, 0.143861, 0.001239, 406.70, 32.19
159317.0, 0.143760, 0.001343, 464.10, 149.88
159343.0, 0.143866, 0.001980, 372.20, 125.11
159369.0, 0.143760, 0.000772, 371.40, 50.93
159396.0, 0.143861, 0.001389, 409.80, 26.33
159422.0, 0.143363, 0.001351, 427.20, 190.77
159449.0, 0.144264, 0.000918, 336.60, 173.23
159475.0, 0.143760, 0.000767, 448.60, 104.27
159501.0, 0.143463, 0.001577, 365.20, 122.17
# Time(s), Light(V),  LightStd, Average, StdDev
159528.0, 0.143559, 0.000680, 375.60, 211.57
159554.0, 0.143660, 0.001018, 413.50, 26.02
159581.0, 0.143660, 0.001115, 361.60, 120.63
159607.0, 0.143161, 0.001257, 350.60, 182.68
159633.0, 0.143061, 0.001384, 447.50, 98.62
159660.0, 0.143760, 0.000767, 403.70, 157.00
159686.0, 0.143358, 0.000503, 392.70, 143.90
159713.0, 0.143760, 0.000767, 410.00, 35.62
159739.0, 0.143660, 0.000909, 379.30, 132.89
159765.0, 0.143760, 0.001680, 402.80, 160.24
159792.0, 0.143760, 0.000897, 416.40, 61.44
159818.0, 0.143262, 0.001199, 436.70, 91.54
159845.0, 0.144063, 0.001236, 386.00, 139.30
159871.0, 0.143458, 0.000823, 393.70, 8.46
159897.0, 0.143962, 0.001283, 406.40, 32.18
159924.0, 0.142562, 0.001685, 419.60, 172.12
159950.0, 0.143760, 0.000999, 322.20, 161.12
159977.0, 0.142960, 0.001796, 462.20, 131.16
160003.0, 0.143861, 0.000841, 379.00, 129.27
160029.0, 0.143458, 0.001047, 386.60, 234.74
# Time(s), Light(V),  LightStd, Average, StdDev
160056.0, 0.143363, 0.001018, 398.30, 16.42
160082.0, 0.143660, 0.001199, 361.70, 120.64
160109.0, 0.143066, 0.001298, 343.20, 174.87
160135.0, 0.143156, 0.000414, 445.50, 110.86
160161.0, 0.143458, 0.000828, 392.60, 147.66
160188.0, 0.143262, 0.002156, 404.60, 161.02
160214.0, 0.143760, 0.000995, 403.50, 17.79
160241.0, 0.142960, 0.001196, 396.80, 150.67
160267.0, 0.144163, 0.001613, 383.20, 130.74
160293.0, 0.143161, 0.001944, 430.40, 88.32
160320.0, 0.144465, 0.001221, 391.40, 143.12
160346.0, 0.143660, 0.000652, 401.40, 155.71
