# FREQ    0.705
0.101,   0.44,    2
0.202,   0.89,    4
0.303,   1.33,    5
0.404,   1.77,    5
0.505,   2.21,    4
0.606,   2.66,    3
0.706,   3.10,    1
0.807,   3.54,   -2
0.908,   3.99,   -3
1.009,   4.43,   -5
1.110,   4.87,   -5
1.211,   5.31,   -4
1.312,   5.76,   -3
1.413,   6.20,   -1
1.514,   6.64,    1
1.614,   7.08,    3
1.715,   7.53,    5
1.816,   7.97,    5
1.917,   8.41,    4
2.018,   8.86,    3
2.119,   9.30,    1
2.220,   9.74,   -1
2.321,  10.27,   -3
2.422,  10.72,   -5
2.523,  11.16,   -5
2.624,  11.60,   -4
2.724,  12.04,   -3
2.825,  12.49,   -1
2.926,  12.93,    1
3.027,  13.37,    3
3.128,  13.82,    5
3.229,  14.26,    5
3.330,  14.70,    4
3.431,  15.14,    3
3.532,  15.59,    1
3.632,  16.03,   -1
3.733,  16.47,   -3
3.834,  16.91,   -4
3.935,  17.36,   -5
4.036,  17.80,   -5
4.137,  18.24,   -3
4.238,  18.69,   -1
4.339,  19.13,    1
4.440,  19.57,    3
4.540,  20.01,    4
4.642,  20.55,    5
4.742,  20.99,    4
4.843,  21.43,    3
4.944,  21.87,    1
5.045,  22.32,   -1
5.146,  22.76,   -3
5.247,  23.20,   -5
5.348,  23.65,   -5
5.449,  24.09,   -5
5.550,  24.53,   -3
5.651,  24.97,   -1
5.752,  25.42,    1
5.852,  25.86,    3
5.953,  26.30,    4
6.054,  26.74,    5
6.155,  27.19,    5
6.256,  27.63,    3
6.357,  28.07,    1
6.458,  28.52,   -1
6.559,  28.96,   -3
6.660,  29.40,   -4
6.761,  29.93,   -5
6.862,  30.38,   -5
6.962,  30.82,   -3
7.063,  31.26,   -1
7.164,  31.70,    1
7.265,  32.15,    3
7.366,  32.59,    4
7.467,  33.03,    5
7.568,  33.47,    5
7.669,  33.92,    3
7.770,  34.36,    1
7.871,  34.80,   -1
7.972,  35.25,   -3
8.072,  35.69,   -4
8.173,  36.13,   -5
8.274,  36.57,   -5
8.375,  37.02,   -3
8.476,  37.46,   -2
8.577,  37.90,    1
8.678,  38.35,    3
8.779,  38.79,    4
8.880,  39.23,    5
8.981,  39.76,    5
9.082,  40.21,    3
9.183,  40.65,    1
9.284,  41.09,   -1
9.385,  41.53,   -3
9.486,  41.98,   -4
9.587,  42.42,   -5
9.688,  42.86,   -5
9.788,  43.30,   -3
9.889,  43.75,   -2
9.990,  44.19,    1
10.091,  44.63,    3
10.192,  45.08,    4
10.293,  45.52,    5
10.394,  45.96,    5
10.495,  46.40,    4
10.596,  46.85,    2
10.697,  47.29,    0
10.798,  47.73,   -2
10.898,  48.18,   -4
10.999,  48.62,   -5
11.100,  49.06,   -5
11.202,  49.59,   -3
11.302,  50.04,   -2
11.403,  50.48,    1
11.504,  50.92,    3
11.605,  51.36,    4
11.706,  51.81,    5
11.807,  52.25,    5
11.908,  52.69,    4
12.009,  53.13,    2
12.110,  53.58,    0
12.211,  54.02,   -3
12.311,  54.46,   -4
12.412,  54.91,   -5
12.513,  55.35,   -5
12.614,  55.79,   -4
12.715,  56.23,   -2
12.816,  56.68,    0
12.917,  57.12,    2
13.018,  57.56,    4
13.119,  58.01,    5
13.220,  58.45,    5
13.321,  58.98,    4
13.422,  59.42,    2
13.522,  59.87,    0
13.623,  60.31,   -3
13.724,  60.75,   -4
13.825,  61.19,   -5
13.926,  61.64,   -5
14.027,  62.08,   -4
14.128,  62.52,   -2
14.229,  62.96,    0

